2014,COM13,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.0787,0.0787,0.0787
,Corresponding IRMS reg value,4160,4220,4220
,test current,11.9085,11.9085,11.9085
 ,Corresponding IRMS reg Value,683192,680892,680892
,IRMSOS,187.98901080934132862158414545,164.39017651037562901395345238,164.17962803787457974113430619

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,122710,121119,120144
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1103523,1105435,1104662
,VRMSOS,-118.02840334008097165991902834,-86.74272520242914979757085023,-71.13777834008097165991902839

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,26851,26813,26807
,Power at pf x at Itest and Vnom,9086,9116,9053
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.569319196366305,-0.567284795779001,-0.570179076557687
,Phase Error,0.334923150324078,0.33367975376519,0.335448858501534
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,0.485361,0.485361,0.485361
,Wt1600MeasureSecondEnergy,1.46933,1.46933,1.46933
,Corresponding reg value for 1st,8884,9083,9004
,Line Cycles,10000,10000,10000
,Reg values For second intergration,30449,30457,30363
,Line cycle for 2nd,200,200,200
,Offset,-75.6722030447323,-63.0173793528759,-66.1076026636583
,xWATTOS,-325.009637293397,-270.657583400228,-283.929991457375

,Reactive Energy

,Wt1600MeasureFirstEnergy,2.48648818913083,2.48648818913083,2.48648818913083
,Wt1600MeasureSecondEnergy,0.232312156863916,0.232312156863916,0.232312156863916
,Corresponding reg value for 1st,31879,31874,31833
,Line Cycles,10000,10000,10000
,Reg values For second intergration,4204,4194,4197
,Line cycle for 2nd,200,200,200
,Offset,-24.5568989867427,-24.3658850412717,-24.4426409237065
,xWATTOS,-105.471078039236,-104.650679390357,-104.980343395191
