2016,COM12,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.2361,0.2361,0.2361
,Corresponding IRMS reg value,4088,4139,4008
,test current,35.7255,35.7255,35.7255
 ,Corresponding IRMS reg Value,668861,669150,669150
,IRMSOS,172.58261326785672493568507668,160.88780132541342189521696113,178.35790377966352877924321734

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,118551,118804,122210
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1084964,1090303,1087533
,VRMSOS,-79.46103238866396761133603244,-74.083818319838056680161943344,-138.63252783400809716599190283

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,25651,25795,25548
,Power at pf x at Itest and Vnom,8582,8642,8691
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.574178626568484,-0.573595306272128,-0.567031711093667
,Phase Error,0.33789534810513,0.337538405574606,0.333525109542238
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,1.456083,1.456083,1.456083
,Wt1600MeasureSecondEnergy,4.40799,4.40799,4.40799
,Corresponding reg value for 1st,8543,8744,8315
,Line Cycles,10000,10000,10000
,Reg values For second intergration,29028,29212,29150
,Line cycle for 2nd,200,200,200
,Offset,-67.3973327449963,-58.3604698860287,-84.688710594279
,xWATTOS,-289.469339977389,-250.656309539686,-363.735242342837

,Reactive Energy

,Wt1600MeasureFirstEnergy,7.45946456739249,7.45946456739249,7.45946456739249
,Wt1600MeasureSecondEnergy,0.696936470591748,0.696936470591748,0.696936470591748
,Corresponding reg value for 1st,30611,30811,30193
,Line Cycles,10000,10000,10000
,Reg values For second intergration,4115,4135,4077
,Line cycle for 2nd,200,200,200
,Offset,-25.1473827295861,-25.1737126287572,-26.3306671493597
,xWATTOS,-108.007186403568,-108.120272459415,-113.089354288361
