2015,COM3,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.0787,0.0787,0.0787
,Corresponding IRMS reg value,3951,3957,3979
,test current,11.9085,11.9085,11.9085
 ,Corresponding IRMS reg Value,603741,605505,605505
,IRMSOS,18.882971089494816766342878311,23.122542110796999281216474239,15.016803642525601443414638759

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,117848,117606,118389
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1077558,1072511,1077595
,VRMSOS,-80.77340587044534412955465587,-85.80699645748987854251012151,-90.15112601214574898785425104

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,23433,23396,23480
,Power at pf x at Itest and Vnom,7552,7540,7567
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.589817303638518,-0.589821417384387,-0.589825281940235
,Phase Error,0.347481783676448,0.347484309723507,0.347486682757454
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,0.485361,0.485361,0.485361
,Wt1600MeasureSecondEnergy,1.46933,1.46933,1.46933
,Corresponding reg value for 1st,8657,8652,8711
,Line Cycles,10000,10000,10000
,Reg values For second intergration,25989,25946,26040
,Line cycle for 2nd,200,200,200
,Offset,4.64687407889573,5.24005970510624,7.04132468840364
,xWATTOS,19.9581721974873,22.5058850625187,30.242259257211

,Reactive Energy

,Wt1600MeasureFirstEnergy,2.48648818913083,2.48648818913083,2.48648818913083
,Wt1600MeasureSecondEnergy,0.232312156863916,0.232312156863916,0.232312156863916
,Corresponding reg value for 1st,28815,28795,28889
,Line Cycles,10000,10000,10000
,Reg values For second intergration,3747,3742,3754
,Line cycle for 2nd,200,200,200
,Offset,-21.1358861822242,-21.0731408666255,-20.8971639654336
,xWATTOS,-90.7779399246314,-90.5084508461577,-89.7526358106868
