2018,COM19,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.2361,0.2361,0.2361
,Corresponding IRMS reg value,1532,1558,1739
,test current,35.7255,35.7255,35.7255
 ,Corresponding IRMS reg Value,602875,604726,604726
,IRMSOS,825.6650001402192643095124846,829.1926163254962484608100139,811.3292978718788499605648812

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,118224,117632,117786
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1105523,1106525,1109214
,VRMSOS,-36.035994433198380566801619484,-23.861778846153846153846153897,-21.617535425101214574898785425

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,23260,23361,23411
,Power at pf x at Itest and Vnom,7447,7487,7496
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.592511937643766,-0.592094416037337,-0.592476310252678
,Phase Error,0.349136920697147,0.348880399373084,0.34911503063058
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,1.456083,1.456083,1.456083
,Wt1600MeasureSecondEnergy,4.40799,4.40799,4.40799
,Corresponding reg value for 1st,8606,8644,8689
,Line Cycles,10000,10000,10000
,Reg values For second intergration,26449,26576,26619
,Line cycle for 2nd,200,200,200
,Offset,-8.4328904868344,-8.68756737220335,-6.70283634344384
,xWATTOS,-36.2189888517033,-37.3128177454101,-28.7884628855315

,Reactive Energy

,Wt1600MeasureFirstEnergy,7.45946456739249,7.45946456739249,7.45946456739249
,Wt1600MeasureSecondEnergy,0.696936470591748,0.696936470591748,0.696936470591748
,Corresponding reg value for 1st,28633,28769,28828
,Line Cycles,10000,10000,10000
,Reg values For second intergration,3791,3807,3815
,Line cycle for 2nd,200,200,200
,Offset,-22.3582548597773,-22.4242490517589,-22.3137954648406
,xWATTOS,-96.0279734183765,-96.3114163146636,-95.8370217711233
