2013,COM14,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.0787,0.0787,0.0787
,Corresponding IRMS reg value,4100,4045,4163
,test current,11.9085,11.9085,11.9085
 ,Corresponding IRMS reg Value,663981,664693,664693
,IRMSOS,149.24592901212557088705432004,165.53188658224950016642146865,132.58083686003351742951948638

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,117251,116599,116970
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1065353,1070947,1071589
,VRMSOS,-92.74032135627530364372469641,-71.094445850202429149797570874,-76.394167510121457489878542534

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,25704,25872,25859
,Power at pf x at Itest and Vnom,8773,8862,8822
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.565599152703945,-0.564041660261592,-0.565791246793521
,Phase Error,0.332649918736663,0.331698702286063,0.332767259119796
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,0.485361,0.485361,0.485361
,Wt1600MeasureSecondEnergy,1.46933,1.46933,1.46933
,Corresponding reg value for 1st,8696,8628,8932
,Line Cycles,10000,10000,10000
,Reg values For second intergration,28868,29112,29043
,Line cycle for 2nd,200,200,200
,Offset,-54.1305682073379,-63.7075323526935,-42.6464276503241
,xWATTOS,-232.489020164414,-273.621767963681,-183.165012049372

,Reactive Energy

,Wt1600MeasureFirstEnergy,2.48648818913083,2.48648818913083,2.48648818913083
,Wt1600MeasureSecondEnergy,0.232312156863916,0.232312156863916,0.232312156863916
,Corresponding reg value for 1st,30286,30606,30836
,Line Cycles,10000,10000,10000
,Reg values For second intergration,4046,4073,4077
,Line cycle for 2nd,200,200,200
,Offset,-24.3732300143068,-24.3151706435112,-23.884588863999
,xWATTOS,-104.682225809333,-104.43286271054,-102.583528049281
