6577,COM3,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.2369499999999999999999999999,0.2369499999999999999999999999,0.2369499999999999999999999999
,Corresponding IRMS reg value,4146,4164,4195
,test current,36.3285,36.3285,36.3285
 ,Corresponding IRMS reg Value,639198,639854,639854
,IRMSOS,11.735501255809082071588713824,9.359134212873081262222690364,6.5677962441106179065339995086

 ,Voltage Calibration

,Fullscale Voltage / 20,24.1,24.1,24.1
,Corresponding VRMS reg Value,114750,116562,115493
,test Voltage,226.76666666666666666666666667,226.76666666666666666666666667,226.76666666666666666666666667
,Corresponding VRMS reg Value,1094670,1097278,1097405
,VRMSOS,27.760485197368421052631578947,0.9269839638157894736842105263,19.852323190789473684210526264

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,24077,24166,24233
,Power at pf x at Itest and Vnom,12130,12217,12207
,Used Power factor,0.50635,0.50635,0.50635
,Error,-0.00503543527745447,-0.00158984783018138,-0.00516524772047493
,Phase Error,0.00290721400816731,0.000917899201620059,0.00298216158204882
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,1.473765,1.473765,1.473765
,Wt1600MeasureSecondEnergy,4.63518,4.63518,4.63518
,Corresponding reg value for 1st,8912,8992,9015
,Line Cycles,10000,10000,10000
,Reg values For second intergration,28330,28453,28511
,Line cycle for 2nd,200,200,200
,Offset,-6.41591011087565,-3.67104583474707,-3.36503815109164
,xWATTOS,-27.5561241002867,-15.7670218023557,-14.4527288087309

,Reactive Energy

,Wt1600MeasureFirstEnergy,8.07808252172151,8.07808252172151,8.07808252172151
,Wt1600MeasureSecondEnergy,0.754523103805728,0.754523103805728,0.754523103805728
,Corresponding reg value for 1st,31863,32042,32110
,Line Cycles,10000,10000,10000
,Reg values For second intergration,4245,4261,4274
,Line cycle for 2nd,200,200,200
,Offset,-25.4250297465794,-25.4106174410961,-25.2833506133992
,xWATTOS,-109.199671261386,-109.137770880675,-108.591164017851
