7678,COM3,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.1574666666666666666666666666,0.1574666666666666666666666666,0.1574666666666666666666666666
,Corresponding IRMS reg value,23815,846342,840092
,test current,24.2290,24.2290,24.2290
 ,Corresponding IRMS reg Value,681919,2454659,2454659
,IRMSOS,-33418.943953155727607887277852,-1214720.1454772206556050960458,-1181450.0838241102483499643485

